adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,decade
False,/aZ8dBIvpDFp9cp23MfBiY5mWfuy.jpg,[27],1072342,en,Night Swim,"Forced into early retirement by a degenerative illness, former baseball player Ray Waller moves into a new house with his wife and two children. He hopes that the backyard swimming pool will be fun for the kids and provide physical therapy for himself. However, a dark secret from the home's past soon unleashes a malevolent force that drags the family into the depths of inescapable terror.",5.7154,/gSkfBGdxdialBMM7P02V4hcI6Ij.jpg,2024-01-03,Night Swim,False,5.527,786,2020s
False,/lD8dFIk9wDEvOwZw0RB47e346io.jpg,"[10749, 18, 37]",698508,en,Redeeming Love,A retelling of the biblical book of Hosea set against the backdrop of the California Gold Rush of 1850.,5.6771,/pDc2HxQtC0MlKD4QfRvmKREEyhc.jpg,2022-01-21,Redeeming Love,False,7.8,670,2020s
False,/yRutvYkM3OP8N9oqqfjSK1VC7fs.jpg,"[27, 878]",762504,en,Nope,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",5.6301,/AcKVlWaNVVVFQwro3nLXqPljcYA.jpg,2022-07-20,Nope,False,6.829,4618,2020s
False,/wCkltGkEGe6mgXBuTdoyRuCMYXt.jpg,"[10751, 14, 35]",454433,en,Magic Camp,"Andy, at the urging of his former mentor and Magic Camp owner Roy Preston, returns to the camp of his youth hoping to reignite his career. Instead, he finds inspiration in his ragtag bunch of rookie magicians.",5.5837,/awcPLFFYjufRXd2oAAP6ZIXF9vM.jpg,2020-08-14,Magic Camp,False,6.9,211,2020s
False,/u6aGN71Hx39iX8Uv4ILRRKHmAXc.jpg,"[18, 10749]",447362,en,Life in a Year,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",5.3322,/bP7u19opmHXYeTCUwGjlLldmUMc.jpg,2020-11-27,Life in a Year,False,8.24,1943,2020s
False,/2OFg5p9yarI5zZsUWKCRgBgPctj.jpg,"[28, 12]",568620,en,Snake Eyes: G.I. Joe Origins,"After saving the life of their heir apparent, tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",5.0709,/uIXF0sQGXOxQhbaEaKOi2VYlIL0.jpg,2021-07-22,Snake Eyes: G.I. Joe Origins,False,6.5,1656,2020s
False,/wwARk7hRIfHfh2n2ubN6N7lvTne.jpg,"[27, 53]",710295,en,Wolf Man,"With his marriage fraying, Blake persuades his wife Charlotte to take a break from the city and visit his remote childhood home in rural Oregon. As they arrive at the farmhouse in the dead of night, they're attacked by an unseen animal and barricade themselves inside the home as the creature prowls the perimeter. But as the night stretches on, Blake begins to behave strangely, transforming into something unrecognizable.",5.0419,/wpSDzTBfF0Eeo5lzu2w9FTujGqd.jpg,2025-01-15,Wolf Man,False,6.251,854,2020s
False,/EnDlndEvw6Ptpp8HIwmRcSSNKQ.jpg,"[14, 35, 12, 878]",425909,en,Ghostbusters: Afterlife,"When single mom Callie and her two kids Trevor and Phoebe arrive in a small Oklahoma town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",4.9997,/sg4xJaufDiQl7caFEskBtQXfD4x.jpg,2021-11-18,Ghostbusters: Afterlife,False,7.335,4954,2020s
False,/n4R5Ad6rwf87lmllFNuYR3io30V.jpg,"[9648, 53]",1249213,en,Drop,"Violet, a widowed mother on her first date in years, arrives at an upscale restaurant where she is relieved that her date, Henry, is more charming and handsome than she expected. But their chemistry begins to curdle as Violet begins being irritated and then terrorized by a series of anonymous drops to her phone.",4.9765,/hSQPSW8aLjsMBfwqGjgJ6HozTkp.jpg,2025-04-10,Drop,False,6.391,661,2020s
False,/75ooojtgiKYm5LcCczbCexioZze.jpg,[35],660982,en,American Pie Presents: Girls' Rules,"It's Senior year at East Great Falls. Annie, Kayla, Michelle, and Stephanie decide to harness their girl power and band together to get what they want their last year of high school.",4.9695,/xqvX5A24dbIWaeYsMTxxKX5qOfz.jpg,2020-10-06,American Pie Presents: Girls' Rules,False,6.2,680,2020s
